song_name,link,lyrics
A Rainy Night in Soho,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=11,"i've been loving you a long time
down all the years
down all the days
and i've cried for all your troubles                                                                 smiled at your funny little ways                                                                                                       we watched our friends grow up together                                                                                     and we saw them as they fell                                                                                                 some of them fell into heaven ,
some of them fell into hell
i took shelter from a shower
and i stepped into your arms
on a rainy night in soho
the wind was whistling all its charms
i sang you all my sorrows
you told me all your joys                                                                  whatever happened to that old song
to all those little girls and boys
now the song is nearly over
we may never find out what it means                                                     but there's a light i hold before me
and you're the measure of my dreams
the measure of my dreams
sometimes i wake up in the morning
the gingerlady by my bed
covered in a cloak of silence
i hear you in my head                                                                              i'm not singing for the future
i'm not dreaming of the past                                                                 i'm not talking of the first time
i never think about the last
now the song is nearly over
we may never find out what it means                                                     still there's a light i hold before me
you're the measure of my dreams
the measure of my dreams"
A Song for Harry  O,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=12,"i saw a young family
just the other day
and they reminded me of a promise
that i made
that i would never live those words
that harry sang so free
little boy blue and silver spoons
would all be part of me
first steps, first words
would be just that
they'd all come first to me
if the bough should break
i would ease the fall
of broken hearts and wounded knees
well, we became pretty goods friends
as the years they rolled along
i came to like his friends
and even tolerate his songs
i helped him with his homework
till the subjects grew too hard
i saw him off to his senior prom
as they drove off in my car
than it came so quickly
as the days turned into years
how being there for nightmare fears
turned into grown up tears
it's said we're here on borrowed time
that much i know is true
the day will come when we find our way
there's no exception to that rule
he found his way one quiet day
and he's left me here behind
and memories of shoulder rides are frozen still in time
so harry i thank you
for the song you sang
you helped me raise my son
but i don't regret a single day
as you both watch us from above
first steps, first words
were all just that
they all came first with me
when the bough came down
i eased the fall
of broken hearts and wounded knees"
A Wedding Song O,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=13,"look into my eyes
tell me what you see
tell me how the years
can pass so easily
do you see the past
or what my life can be
look into my eyes
and tell me what you see
for now it is time to fly
as i reach for the sky
i'll soar to reach the sun
as my new life has begun
look into my heart
as my journey lies ahead
i know you wish me well
as some things are left unsaid
today begins anew
and not a tear we'll shed
look into my heart as my journey lies ahead"
After All These Years,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=14,"my darling come to me, set you down easily
and rest awhile by the soft firelight...cold is the night
but warm is my heart with pride
having you by my side
you're still my guiding light after all these years
your soft assuring ways, the rock i lean on
saw me through my darkest days
when all hope had gone
you're still the only one, i'll ever hold near
and i love you, after all these years
time from me passes on, and i'm growing old
a lifetime nearly gone, i cannot unfold...nights dark and cold
but warm is your hand in mine, feeble with ageless time
the light of love still shine after all these years   "
After the Time,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=15,"i woke up this mornin' arse up on the floor
i opened one eye there were beer cans galore
my head how it pounded my poor body shook
and i nearly got sick when i got up to look
at the wholes in the canvass the stains on the bed
there wasn't a window where one should be at
there was beer in the dish that was left for the cat
but oh what a wonderful time
so you grab the dustpan and i'll grab the mop
you clean the bottom and i'll clean the top
we'll break out the lestoil and tear up some rags
to clean up after the time
i went to the kitchen to grab me a drink
there were glasses all rotten piled up in the sink
and half bowls of 'moo soup' all strewn 'round the place
and half eated cold place took up all the space
there was unopened home brew still left from the tear
three odd pairs of shoes and some strange underwear
and my cousin still smokin' asleep in the chair
but oh! what a wonderful time   
i went to the bathroom to grab me a scrub
we were all out of arse wipes there was beer in the tub
the toilet was plugged up and filled to the brim
and the bluebottle flies were lined up for a swim
the mirror was broken the shower curtain tore
i don't think it was water what wetted the floor
and some impatient knocker left holes in the door
but oh! what a wonderful time"
All Around Me Hat,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=16,"my love she was fair, and my love she was kind                                                                                  and cruel the judge and jury that sentenced her away                                                                           for theiving was a thing that she never was inclined to                                                                  they sent my love across the sea ten thousand miles away

                                                                                                                                         all around my hat, i will wear the green willow                                                                                   all around my hat for a year and a day                                                                                                 and if anyone should question me the reason for my wearing it                                                           i'll tell them that my own true love is ten thousand miles away
i bought my love a golden ring to wear upon her finger a                                                         token of our own true love and to remember me                                                                              and when she returns again, we never will be parted                                                                         we'll marry and be happy for ever and a day

seven, seven long years my love and i are parted                                                                          seven, seven long years my love is bound to stay                                                                      seven long years i'll love my love and never be false-hearted                                                            and never sigh or sorrow while she's far, far away

some young men there are who are preciously deceitful                                                     a-coaxin' of the fair young maids they mean to lead astray                                                                  as soon as they deceive them, so cruelly they leave them                                                                i'll love my love forever though she's far, far away "
All For Me Grog,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=17,"well it's all for me grog me jolly jolly grog
all for me beer and tobacco
well i spent all me tin on the ladies drinkin gin
across the western ocean i will wander
well it's all for me boots me noggin noggin boots
gone for me beer and tobacco
well the heels are worn ot
and the toes are kicked about
and the sole is lookin out for better weather   
well it's all for me shirt me noggin noggin shirt
all for me beer and tobacco
well the collar it is worn
and the sleeves they are all torn
the tail is looking out for better weather   
well i'm sick in the head and i haven't been to bed
since i've been ashore for me slumber
well i spent all me dough
on the ladies don't ye know
across the western ocean i will wander  
well it's all for me stout, my guinness guinness stout
all for me beer and tobacco
well i drank a pint of stout
but it's clear coming out
and the head is looking out for better weather!"
Angel of Hope O,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=19,"take me on your wing
together we will fly
let me see your memory thru the teardrop in my eye
lift my spirit high
till i can touch your soul
take me on your wing
with all the love i bring
my sweet angel of hope
i search for you each moment
and wonder where you are
on summer winds and butterflies
i've searched from near and far
but i know you're here to comfort me
till i can find my way
and although you speak in silence
try to hear what you still say
when a springtime sky
that's full of clouds
reveals a patch of blue
and a warming sun comes shining thru
i know that can be you 
this life is full of happenings
that we don't understand
still you are my miracle
blessed by god's own hand
and my miracle will be complete
and i'll be truly blessed
when i wrap my arms around you
and hold you close against my breast
now we have a place for us
that we can call our own
as i gaze upon your smiling face
sweet angel of hope    "
Armed Forces Lyrics,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=507,"marine's hymn
from the halls of montezuma
to the shores of tripoli
we fight our country's battles
in the air, on land, and sea;
first to fight for right and freedom
and to keep our honor clean;
we are proud to claim the title
of united states marine.
our flag's unfurled to every breeze
from dawn to setting sun;
we have fought in every clime and place
where we could take a gun.
in the snow of far-off northern lands
and in sunny tropic scenes;
you will find us always on the job --
the united states marines.
here's health to you and to our corps
which we are proud to serve;
in many a strife we've fought for life
and never lost our nerve.
if the army and the navy
ever look on heaven's scenes,
they will find the streets are guarded
by united states marines.
the army song
first to fight for the right,
and to build the nations might,
and the army goes rolling along
proud of all we have done,
fighting till the battles won,
and the army goes rolling along.
 then its hi! hi! hey!
the armys on its way.
count off the cadence loud and strong
(two! three!)
for where eer we go,
you will always know
that the army goes rolling along.
valley forge, custers ranks,
san juan hill and pattons tanks,
and the army went rolling along
minute men, from the start,
always fighting from the heart,
and the army keeps rolling along.
men in rags, men who froze,
still that army met its foes,
and the army went rolling along.
faith in god, then were right,
and well fight with all our might,
as the army keeps rolling along. 
anchors aweigh
stand navy out to sea, fight our battle cry; we'll never change our course,
so vicious foe steer shy-y-y-y.
roll out the tnt, anchors aweigh.
sail on to victory
and sink their bones to davy jones, hooray!
anchors away, my boys, anchors aweigh.
farewell to foreign shores,
we sail at break of day-ay-ay-ay.
through our last night on shore,
drink to the foam,
until we meet once more.
here's wishing you a happy voyage home.
blue of the mighty deep; gold of god's sun
let these colors be till all of time
be done, done, done,
on seven seas we learn navy's stern call:
faith, courage, service true,
with honor, over honor, over all.
off we go into the wild blue yonder
off we go into the wild blue yonder,
climbing high into the sun;
here they come zooming to meet our thunder, at 'em boys, give 'er the gun!
(give 'er the gun now!)
down we dive, spouting our flame from under,
off with one helluva roar!
we live in fame or go down in flame. hey! nothing'll stop the u.s. air force!
additional verses:
minds of men fashioned a crate of thunder,
sent it high into the blue;
hands of men blasted the world asunder;
how they lived god only knew!
(god only knew then!)
souls of men dreaming of skies to conquer
gave us wings, ever to soar!
with scouts before and bombers galore. hey! nothing'll stop the u.s. air force!
bridge: 'a toast to the host'
here's a toast to the host
of those who love the vastness of the sky,
to a friend we send a message
of his brother men who fly.
we drink to those
who gave their all of old,
then down we roar
to score the rainbow's pot of gold.
a toast to the host of men we boast,
the u.s. air force! zoom!
off we go into the wild sky yonder, keep the wings level and true;
if you'd live to be a grey-haired wonder
keep the nose out of the blue!
(out of the blue, boy!)
flying men, guarding the nation's border,
we'll be there, followed by more!
in echelon we carry on. hey!
nothing'll stop the u.s. air force!
semper paratus (always ready)
the united states coast guard theme song
from north and south and east and west,
the coast guard's in the fight.
destroying subs and landing troops,
the axis feels our might.
for we're the first invaders,
on every fighting field.
afloat, ashore, on men and spars,
you'll find the coast guard shield.
we're always ready for the call,
we place our trust in thee.
through howling gale and shot and shell,
to win our victory.
'semper paratus' is our guide,
our pledge, our motto, too.
we're 'always ready,' do or die!
aye! coast guard, we fight for you.
from aztec shore to arctic zone,
to europe and far east.
the flag is carried by our ships,
in times of war and peace.
and never have we struck it yet,
in spite of foe-men's might,
who cheered our crews and cheered again,
for showing how to fight.
we're always ready for the call,
we place our trust in thee.
through howling gale and shot and shell,
to win our victory.
'semper paratus' is our guide,
our pledge, our motto, too.
we're 'always ready,' do or die! aye!
coast guard, we fight for you.
surveyor and narcissus,
the eagle and dispatch,
the hudson and the tampa
the names are hard to match;
from barrow's shores to paraguay,
great lakes or ocean's wave,
the coast guard fought
through storms and winds
to punish or to save.
we're always ready for the call,
we place our trust in thee.
through howling gale and shot and shell,
to win our victory.
'semper paratus' is our guide,
our pledge, our motto, too.
we're 'always ready,' do or die!
aye! coast guard, we fight for you.
aye, we've been 'always ready'
to do, to fight, or die
write glory to the shield we wear
in letters to the sky.
to sink the foe or save the maimed
our mission and our pride
we'll carry on 'til kingdom come
ideals for which we've died.
we're always ready for the call,
we place our trust in thee.
through howling gale and shot and shell,
to win our victory.
'semper paratus' is our guide,
our pledge, our motto, too.
we're 'always ready,' do or die!
aye! coast guard, we fight for you."
Arthur McBride,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=20,"i had a young cousin named arthur mcbride
he and took a stroll down by the seaside
a seekin' good fortune and what might be tide
bein' just as the day was a dawnin'
and then after restin' we both took a tram
to meet sergeant harper and corporal cram
beside the wee drummer who beat up the camp
with his rowdy dow dow in the mornin'
he said, ""me young fellows if you will enlist
a guinea you quickly shall have in your fist
besides a crown for to kick up the dust
and to drink the king's health in the morning""
had we been such a fool as to take the advance
with a wee bit of money we'd have to run chance
""do you think it no scruples to send us to france
where we should be killed in the morning?""
he said, ""me young fellows if i hear but one word
i instantly now will out with my sword
and into your bodies as strength will support
so now me gay devils take warnin!""
but arthur and i we both took the odds
and we gave them no chance for to launch out their swords
our whackin' shillelaghs came over their heads
and we paid them right smart in the morning
and as for the drummer, we rifled his pouch
and we made a football of his rowdy dow dow
and into the ocean to rock and to roll
barin' the day it's returnin'
and as for the rapier he hung by his side
we threw it as far as we could in the tide
""to the devil i pit you!"" says arthur mcbride,
""to temper your steel in the mornin'"""
Artist on the RTA,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=549,"this is in response to the viral youtube video
of a cleveland bus driver being assaulted by a passenger until he couldnt take it anymore.
let me tell you the story about a man named artis
who was bussin for the rta
for 25 years he never had a problem
till he met a certain shi dea lane
now shi dea lane was standin by the driver
till artis couldnt take it no more
this bitch was cursin all up in his grill
and acting like a crazy crack whore
did he show some restraint
(no there was no restraint)
this bitch was about to get crushed
then things got ugly with a camera was rollin
for an uppercut on a downtown bus
he said ill bring my grand daughter up here
to whoop yo ass
what was the driver to do
she said  bring them n-word her and yo nanny bitch
and ill beat her ass too
then shi dea lane walked over to artis
and hit him while he was driving and how
witness reported that she spit on him too
he said, you going to jail now
then atrist reared back with a wide toed stance
that made tyson and larry holmes proud
and there was a mighty crack and silence for a second
for once this bitch wasnt so loud
then all in one motion he grabbed her by the weave
and out the front door she flew
he even showed her courtesy by ditching her
belongings in one motion with the follow through
than a passenger yelled, you can hear her on the tape
thats a f-ing word female!
he said,i dont care she wanna be a man
im gunna treat you like a man
now shi dea lanes jaw was workin fine
spewing threats without a hitch
heres the last thing she said as the tape was ending
my n-word gunna to beat he breast off you bitch"
As I Roved Out,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=21,"and who are you, me pretty fair maid
and who are you, me honey?
and who are you, me pretty fair maid
and who are you, me honey?
she answered me quite modestly,
""i am me mother's darling.""


with me too-ry-ay fol-de-diddle-day
di-re fol-de-diddle dai-rie oh.
and will you come to me mother's house,
when the sun is shining clearly ( repeat )

i'll open the door and i'll let you in
and divil 'o one would hear us.

so i went to her house in the middle of the night
when the moon was shining clearly ( repeat )
shc opened the door and she let me in
and divil the one did hear us.

she took me horse by the bridle and the bit
and she led him to the stable ( repeat )
saying ""there's plenty of oats for a soldier's horse,
to eat it if he's able.""

then she took me by the lily-white hand
and she led me to the table ( repeat )
saying ""there's plenty of wine for a soldier boy,
to drink it if you're able.""

then i got up and made the bed
and i made it nice and aisy ( repeat )
then i got up and laid her down
saying ""lassie, are you able?""

and there we lay till the break of day
and divil a one did hear us ( repeat )
then i arose and put on me clothes
saying ""lassie, i must leave you.""

and when will you return again
and when will we get married ( repeat )
when broken shells make christmas bells
we might well get married."
Auld Lang Syne,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=561,"should auld acquaintance be forgot
and never brought to mind
should auld acquaintance be forgot
and days of auld lang syne
for auld lang syne my dear
for auld lang syne
we'll take a cup of kindness yet
for days of auld lang syne
we two have run about the braes
and pu'd the gowned fine
but we've wandered a many weary fit
since days of auld lang syne
we two have piddl'd in the burn
frae morning' sun 'til dine
but seas between us brae her roared
since days of auld lang syne
for auld lang syne my dear
for auld lang syne
we'll take a cup of kindness yet
for days of auld lang syne
and surely you'll be yer pint stowp
and surely i'll be mine
and we'll take a cup of kindness yet
for days of auld lang syne
and there's a hand my trusty fiere
and gives a hand o' thine
and we'll take right gude willie waught
for auld lang syne
for auld lang syne my dear
for auld lang syne
we'll take a cup of kindness yet
for days of auld lang syne"
Avondale,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=22,"oh have you been to avondale
and wandered in the lovely vale
where tall trees whisper all the tale
of avondale's proud eagle

where fame and ancient glory fate
such was the land where he was laid
like christ was thirty pieces paid
for avondale's proud eagle

long years that green and lovely vale
has nursed parnell, our grandest gael
and cursed the land that has betrayed
fair avondale's proud eagle"
Back Home in Derry,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=23,"in 1803 we sailed out to sea
out from the sweet town of derry
for australia bound if we didn't all drown
and the marks of our fetters we carried.
in the rusty iron chains we sighed for our wains
as our good wives we left in sorrow.
as the mainsails unfurled our curses we hurled
on the english and thoughts of tomorrow.
oh oh oh oh i wish i was back home in derry.
oh oh oh oh i wish i was back home in derry.
i cursed them to hell as our bow rode the swell.
our ship danced like a moth in the firelights.
white horses rode high as the devil passed by
taking souls to hades by twilight.
five weeks out to sea we were now forty-three
our comrades we buried each morning.
in our own slime we were lost in a time.
endless night without dawning.   
van dieman's land is a hell for a man
to live out his life in slavery.
when the climate is raw and the gun makes the law.
neither wind nor rain cares for bravery.
twenty years have gone by and i've ended me bond
and comrades' ghosts are behind me.
a rebel i came and i'ii die the same.
on the cold winds of night you will find me  "
Back Home To Ireland (for the 1st time)O,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=24,"there's a spirit that flows in an irishman's soul
and carries within it, all the dreams of the past
deep in our memories are the greatest of those
believers, and dreamers, who died with a hope
that the freedom ship sails
with an irish flag high on its mast
those who can realize these feelings of pride
to be linked to the people of this storied land
i return to this island and know deep inside
the stongest, the bravest, the faithful and true
grant me welcome with smiles, and joy
in their open hands
back home to ireland for the first time
as i gaze on your fields and your shores
in each irishman's heart
there's a part of you inside
in my heart i have been here before
time calls upon me to fly o're the sea
to answer those voices, they're calling me home
the history has taught me what i am to love
my family, my country, to worship my god
it's your spirit that lives
in my heart and the depths of my soul"
Back to Nine Island O,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=25,"it's red right returning
on back to nine island
hauling our catch
farewell to the sea
for home our heart's yearning
as we view the highlands
we're riding the crest
and our spirits are free
we're dreaming of camp
as the main sail's unfurling
the evening is blessed
with a favoring wind
our faces are chapped
from the weeks of our toiling
while our labors have kept us
from drinking and sin
with thoughts of our docking
all faces are smiling
the haul is a bumper
well blessed by the man
life's pleasures are best
when your heart it is pining
and ever more joyful
when they're close at hand 
the sun in the west
as it's drifting and lazing
shines and reflects
on the houses ashore
it seemingly sets
all the windows a  blazing
our hearts they will leap
when we walk thru their doors
our faces will glow
like the campfires burning
we'll drink up the time
with our family and friends
we'll cherish the time
for soon we're returning
it's moments at camp
we wish they'd never end  
the first night at camp
will last till sun's dawning
with tales of the past
full of laughter and song
the glasses we drank
will soon lend to our yawning
it's here all are welcome
it's here you belong
we easily lose
all our thoughts of employment
enjoying all things
as we're fast on the shore
when the day soon arives
and we're bound for deployment
we'll plan our returning
when we leave once more  "
Ballad of St. Anne,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=458,"he was stranded in some tiny town
on fair prince edward island
waiting for a ship to come
and find him
a one horse place, a friendly face,
some coffee and a tiny trace
of fiddlin' in the distance
far behind him
a dime across the counter then,
a shy hello, a brand new friend
a walk along the street in the wintry weather
a yellow light, an open door,
a 'welcome friend, there's room for more'
and then they're standing there inside together he said 'i've heard that tune before somewhere but i can't remember when
was it on some other friendly shore,
did i hear it on the wind
was it written on the sky above,
i think i heard it from someone i love
but i never heard it sound so sweet since then how his feet begin to tap, a little boy says 'i'll take your hat'
he's caught up in the magic of his smile
then leaps the heart inside him
when and off across the floor he sends
his clumsy body, graceful as a child he said
'there's magic in the fiddler's arms and there's magic in this town
there's magic in the dancers' feet and the way they put them down
smiling people everywhere, boots and ribbons and locks of hair
laughter and old blue suits and easter gowns' the sailor's gone, the room is bare, the old piano's sitting there
someone's hat's left hanging on the rack
some empty chairs, the wooden floor that feels the touch of shoes no more
waiting for the dancers to come back
and the fiddle's in the closet of some daughter of the town
strings are broke and the bow is gone and the case is buttoned down
but often on december nights when the air is cold and the wind is right there's a melody comes passing through this town"
BallyJamesDuff,https://www.irishsongs.com/lyrics.php?Action=view&Song_id=26,"the garden of eden has vanished, they say
but i know the lie of it still;
just turn to the left at the bridge of fenagh
and stop when halfway to cootehill.
'tis there i will find it,
i know sure enough
when fortune has come to me call,
oh the grass it is green around ballyjamesduff
and the blue sky is over it all.
and tones that are tender and tones that are gruff
are whispering over the sea,
""come back, paddy reilly to ballyjamesduff
come home, paddy reilly, to me"".
my mother once told me that when i was born
the day that i first saw the light,
i looked down the street on that very first morn
and gave a great crow of delight.
now most newborn babies appear in a huff,
and start with a sorrowful squall,
but i knew i was born in ballyjamesduff
and that's why i smiled on them all.
the baby's a man, now he's toil-worn and tough
still, whispers come over the sea,
""come back, paddy reilly to ballyjamesduff
come home, paddy reilly, to me"".
the night that we danced by the light of the moon,
wid phil to the fore wid his flute,
when phil threw his lip over ""come again soon"",
he's dance the foot out o' yer boot!
the day that i took long magee by the scruff
for slanderin' rosie kilrain,
then, marchin' him straight out of ballyjamesduff,
assisted him into a drain.
oh, sweet are the dreams, as the dudeen i puff,
of whisperings over the sea,
""come back, paddy reilly to ballyjamesduff
come home, paddy reilly, to me"".
i've loved the young women of every land,
that always came easy to me;
just barrin' the belles of the black-a-moor brand
and the chocolate shapes of feegee.
but that sort of love is a moonshiny stuff,
and never will addle me brain,
for the bells will be ringin' in ballyjamesduff
for me and me rosie kilrain!
and through all their glamour, their gas and their guff
a whisper comes over the sea,
""come back, paddy reilly to ballyjamesduff
come home, paddy reilly, to me"".
i've struck oil at last!
i've struck work, and i vow
i've struck some remarkable clothes,
i've struck a policeman for sayin' that now,
i'd go back to my beautiful rose.
the belles they may blarney,
the boys they may bluff
but this i will always maintain,
no place in the world like ballyjamesduff
no girl like rosie kilrain.
i've paid for my passage, the sea may be rough
but borne on each breeze there will be,
""come back, paddy reilly to ballyjamesduff
come home, paddy reilly, to me""."
